,Unnamed: 0,체용제목,회사명,기업구분,등록일자,고용구분
0,0,[학사] 경영지원(인사/총무),녹십자웰빙,중견기업,20220121,정규직
1,1,[현대백화점그룹] 2022년 상반기 신입 영양사 공개채용,현대그린푸드,,20220120,정규직
2,2,2022년 경력사원 모집,지에스에너지,,20220124,정규직
3,3,FA Hardware Engineer 신입사원 채용,아드반테스트코리아,중견기업,20220114,정규직
4,4,[신입] 생산/공정담당 모집,애경케미칼,중견기업,20220113,정규직
5,5,2022년 상반기 공개채용 (지원직),기흥모터스,,20220113,정규직
6,6,전기로사업본부 - [인천/신입] 설비관리_기계정비,현대제철,,20220118,정규직
7,7,인사기획팀 신입 채용,지에스아이티엠,중견기업,20220121,정규직
8,8,천연물융합연구개발본부 신입 및 경력직원 모집,광동제약,중견기업,20220121,정규직
9,9,2022년 상반기 신입사원 채용,현대오토에버,,20220121,정규직
10,10,[기계] 안전관리 경력사원 모집,한화,,20220117,정규직
11,11,오프라인영업기획팀 경력직원(3년 이상) 모집,광동제약,중견기업,20220120,정규직
12,12,2022년 상반기 공개채용 (할리데이비슨 영업/정비직군),기흥모터스,,20220113,정규직
13,13,2022년 신입사원 채용,세아제강,중견기업,20220120,정규직
14,14,"2022년 1월 경력채용(정보보안, 사전심의)",롯데홈쇼핑,,20220120,정규직
15,15,2022년 신입사원 모집,지에스에너지,,20220124,정규직
16,16,2022년도 신입사원 정기공채,케이알산업,중견기업,20220121,정규직
17,17,편의점 점포개발 경력사원 모집,이마트이십사,,20220121,정규직
18,18,[기계] 2022년 상반기 채용전제형 인턴 채용,한화,,20220124,정규직전환형|기간제|기타
19,19,2022년 상반기 신입 공개 채용,라이온코리아,,20220121,정규직
20,20,2022년 상반기 경력사원 채용,미래에셋생명보험,,20220118,정규직|기타
21,21,2022년 신입사원 채용 (해외영업-서울),세아씨엠,중견기업,20220120,정규직
22,22,정규직 사무직 채용공고,국립암센터,공공기관,20220121,정규직
23,23,신입 직원(업무지원직) 채용공고(장애인우대),분당서울대학교병원,공공기관,20220124,정규직
24,24,설비부문,삼아알미늄,중견기업,20220117,정규직
25,25,투자운용팀 인재 모집,푸본현대생명,대기업,20220120,정규직전환형|기간제|기타
26,26,수출부문 전략기획팀(신규사업팀) 경력 채용,신원,중견기업,20220120,정규직
27,27,System Software Engineer 신입사원 채용,아드반테스트코리아,중견기업,20220114,정규직
28,28,전기로사업본부 - [인천/신입] 설비관리_토목관리,현대제철,,20220118,정규직
29,29,"품질관리, 생산기술 부문 모집",삼아알미늄,중견기업,20220117,정규직
30,30,22년 1분기 IT직군 신입사원 채용공고,큐알티,,20220119,정규직
31,31,[춘천] 2022년 상반기 신입 채용(3교대),인컴즈,중견기업,20220117,정규직
32,32,친환경(생분해) 포장재 개발 경력 채용,동원시스템즈,중견기업,20220120,정규직
33,33,물류 및 자재구매관리 부문 모집,삼아알미늄,중견기업,20220117,정규직
34,34,내부감사 / ESG 부문 인재모집,신세계아이앤씨,,20220120,정규직
35,35,[춘천] 2022년 상반기 신입 채용,인컴즈,중견기업,20220117,정규직
36,36,전기로사업본부 - [당진/신입] 안전/보건/환경_보건관리,현대제철,,20220118,정규직
37,37,진천사업장 산업안전 담당 경력 채용,동원시스템즈,중견기업,20220120,정규직
38,38,외식 사업지원팀 점포개발 경력사원 모집,씨제이푸드빌,,20220120,정규직
39,39,[워커힐] 2022년 상반기 정규직 전환형 인턴 공개채용,에스케이네트웍스,,20220118,정규직전환형|기간제|기타
40,40,영업본부 경력사원 모집,동원팜스,중견기업,20220121,정규직
41,41,신입 및 경력사원 모집,에스티엑스마린서비스,중견기업,20220120,정규직
42,42,채용연계형 인턴 - UI/UX 디자인,파수,,20220119,정규직전환형|기간제|기타
43,43,레일솔루션 연구소 신입/경력사원 모집,현대로템,,20220118,정규직
44,44,2022년 01월 신입/경력사원 채용,이연제약,중견기업,20220120,정규직|기타
45,45,2022년 신입사원 모집,대한제분,중견기업,20220121,정규직
46,46,[디자인] 글로벌 웹디자인 인턴사원 모집,에이피알,,20220120,정규직전환형|기간제|기타
47,47,2022 채용연계형 인턴십,디엔코스메틱스,,20220117,정규직전환형|기간제|기타
48,48,"[보도기자, TV PD, 재무회계, 정보보안(보훈제한경쟁)] 2022년 상반기 직원 채용",국제방송교류재단,공공기관,20220119,정규직|기타
49,49,[경력]이사회 운영 담당자 모집,지에스칼텍스,,20220119,정규직
50,50,"[영업부문, 마케팅] 채용연계형 인턴 및 안전관리자 모집",신도리코,중견기업,20220120,정규직|정규직전환형|기간제|기타
51,51,품질사업부 신입사원 모집,현대로템,,20220117,정규직
52,52,2022년 1분기 자동화CIC 신입경력 수시채용,엘에스일렉트릭,,20220117,정규직
53,53,IT부문 모집,삼아알미늄,중견기업,20220117,정규직
54,54,2022 채용연계형 인턴십,엠서클,,20220117,정규직전환형|기간제|기타
55,55,2022 채용연계형 인턴십,대웅제약,중견기업,20220117,정규직전환형|기간제|기타
56,56,1월 고졸 신입 채용,스템코,,20220118,정규직|정규직전환형|기간제|기타
57,57,대졸 신입사원 모집,충청에너지서비스,,20220118,정규직
58,58,`22년 상반기 현장직 신입사원(채용연계형 인턴) 모집,포스코엠텍,,20220119,정규직|정규직전환형|기간제|기타
59,59,2022 DNA 채용(상반기 수시채용),대원제약,중견기업,20220119,정규직
60,60,2022년 1월 신입사원 자사채용(채용전제형 인턴),코리아세븐,,20220119,정규직|정규직전환형|기간제|기타
61,61,2022년 신입사원 공개채용[인턴(정규직전환형)],히로세코리아,중견기업,20220120,정규직전환형|기간제|기타
62,62,환경안전부문 보건관리자 모집,삼아알미늄,중견기업,20220117,정규직
63,63,'22년 1차 정규직 택배사원 모집,씨제이대한통운,,20220118,정규직
64,64,"2022년 1월 경력사원 채용(법무,회계사,IT기획,시설인테리어,영업,개발)",코리아세븐,,20220119,정규직
65,65,[스노우볼] 전환형 인턴_콘텐츠 상품 기획자,데이원컴퍼니,,20220120,정규직전환형|기간제|기타
