직종코드,대분류,소분류
11100,경영/사무/금융,의회의원·고위공무원 및 공공단체임원
11200,경영/사무/금융,기업 고위임원
12100,경영/사무/금융,정부행정 관리자
12200,경영/사무/금융,경영지원 관리자
12201,경영/사무/금융,경영기획 부서장
12202,경영/사무/금융,인사·노무·교육·총무·감사 부서장
12203,경영/사무/금융,자재·구매 부서장
12204,경영/사무/금융,재무·회계·경리 부서장
12205,경영/사무/금융,기타 경영지원 서비스 관리자
12300,경영/사무/금융,마케팅·광고·홍보 관리자(부서장)
12400,경영/사무/금융,금융·보험 관리자(부서장)
13100,경영/사무/금융,연구 관리자
13200,경영/사무/금융,교육 관리자(부서장)
13300,경영/사무/금융,법률·경찰·소방·교도 관리자
13400,경영/사무/금융,보건·의료 관리자(부서장)
13500,경영/사무/금융,사회복지 관리자(부서장)
13600,경영/사무/금융,예술·디자인·방송 관리자(부서장)
13700,경영/사무/금융,정보통신 관리자(부서장)
13900,경영/사무/금융,부동산·조사·인력알선 및 기타 전문서비스 관리자
13901,경영/사무/금융,부동산·임대업 관리자
13902,경영/사무/금융,아파트 관리소장
13903,경영/사무/금융,빌딩 관리소장
13904,경영/사무/금융,"조사, 인력공급·알선 및 기타 전문서비스 관리자(부서장)"
14100,경영/사무/금융,미용·여행·숙박·스포츠 관리자
14101,경영/사무/금융,미용·여행·숙박 관리자
14102,경영/사무/금융,스포츠 관리자
14200,경영/사무/금융,음식서비스 관리자
14300,경영/사무/금융,경비·청소 관리자
14301,경영/사무/금융,경비 관리자
14302,경영/사무/금융,환경·청소 관리자
15100,경영/사무/금융,영업·판매 관리자
15101,경영/사무/금융,영업 관리자(영업소장·지점장)
15102,경영/사무/금융,판매 관리자(소규모 판매점장 제외)
15200,경영/사무/금융,운송 관리자(부서장)
15900,경영/사무/금융,각종 단체 및 기타 고객서비스 관리자
16100,경영/사무/금융,건설·채굴 관리자(부서장)
16200,경영/사무/금융,전기·가스·수도 관리자(부서장)
16300,경영/사무/금융,제조·생산 관리자
16301,경영/사무/금융,기계·금속·비금속 제조 관리자(공장장)
16302,경영/사무/금융,화학 제조 관리자(공장장)
16303,경영/사무/금융,섬유·의류 제조 관리자(공장장)
16304,경영/사무/금융,전기·전자 제조 관리자(공장장)
16305,경영/사무/금융,식품가공 제조 관리자(공장장)
16306,경영/사무/금융,기타 제품 제조 관리자(공장장)
16900,경영/사무/금융,기타 건설·전기 및 제조 관리자
16901,경영/사무/금융,수리·정비 관리자(부서장)
16902,경영/사무/금융,농림어업 및 기타 생산 관리자
21000,경영/사무/금융,정부·공공행정 전문가
22100,경영/사무/금융,경영 컨설턴트(M&A·창업·인증심사·FTA)
22201,경영/사무/금융,인사·노무 전문가
22202,경영/사무/금융,HRD·교육·훈련 전문가
23100,경영/사무/금융,회계사
23200,경영/사무/금융,세무사
23301,경영/사무/금융,관세사
23302,경영/사무/금융,FTA 원산지관리사
23400,경영/사무/금융,감정 전문가
23401,경영/사무/금융,감정평가사
23402,경영/사무/금융,감정사(문화재·보석·문서·음식료품 및 조향사)
24101,경영/사무/금융,광고·홍보 전문가
24102,경영/사무/금융,마케팅 전문가
24200,경영/사무/금융,조사 전문가
24301,경영/사무/금융,상품 기획자
24302,경영/사무/금융,머천다이저(MD)
24400,경영/사무/금융,행사 기획자
24401,경영/사무/금융,행사·이벤트 기획자
24402,경영/사무/금융,전시·회의 기획자
231400,경영/사무/금융,직업상담사
25100,경영/사무/금융,조세행정 사무원
25200,경영/사무/금융,관세행정 사무원
25300,경영/사무/금융,병무행정 사무원
25401,경영/사무/금융,국가·지방행정 사무원
25402,경영/사무/금융,군무원
25500,경영/사무/금융,공공행정 사무원
26100,경영/사무/금융,기획·마케팅 사무원
26101,경영/사무/금융,경영 기획 사무원
26102,경영/사무/금융,마케팅·광고·홍보·상품기획 사무원
26103,경영/사무/금융,영업 기획·관리·지원 사무원
26104,경영/사무/금융,분양·임대 사무원
26200,경영/사무/금융,인사·교육·훈련 사무원
26201,경영/사무/금융,인사 사무원
26202,경영/사무/금융,노무 사무원
26203,경영/사무/금융,교육·훈련 사무원
26300,경영/사무/금융,총무 사무원 및 대학 행정조교
26301,경영/사무/금융,총무 및 일반 사무원
26302,경영/사무/금융,병원행정 사무원(원무)
26303,경영/사무/금융,학교행정 사무원(교무)
26304,경영/사무/금융,대학 행정조교
26305,경영/사무/금융,협회·회원단체 사무원
26306,경영/사무/금융,기숙사사감 및 독서실·고시원 총무
26400,경영/사무/금융,감사 사무원
215200,경영/사무/금융,대학 교육 조교(TA) 및 연구 조교(RA)
222000,경영/사무/금융,법률 사무원
27100,경영/사무/금융,회계 사무원
27101,경영/사무/금융,재무 사무원
27102,경영/사무/금융,회계 사무원(회계·세무 사무소)
27103,경영/사무/금융,회계 사무원(일반 사업체)
27200,경영/사무/금융,경리 사무원
27201,경영/사무/금융,경리 사무원(무역)
27202,경영/사무/금융,경리 사무원(운수)
27203,경영/사무/금융,경리 사무원(건설)
27204,경영/사무/금융,경리 사무원(제조)
27205,경영/사무/금융,경리 사무원(회계·세무 사무소)
27206,경영/사무/금융,경리 사무원(일반사업체)
27207,경영/사무/금융,경리 사무원(아파트·빌딩)
27208,경영/사무/금융,단순 경리 사무원
28100,경영/사무/금융,무역 사무원
28101,경영/사무/금융,무역 사무원(영어)
28102,경영/사무/금융,무역 사무원(중국어)
28103,경영/사무/금융,무역 사무원(일본어)
28104,경영/사무/금융,무역 사무원(기타 언어)
28105,경영/사무/금융,관세 사무원
28106,경영/사무/금융,FTA 관리 사무원
28200,경영/사무/금융,운송 사무원
28201,경영/사무/금융,도로 운송 사무원(배차사무 포함)
28202,경영/사무/금융,철도·지하철 운송 사무원
28203,경영/사무/금융,항공 운송 사무원
28204,경영/사무/금융,수상 운송 사무원(해상 운송)
28300,경영/사무/금융,자재·구매·물류 사무원
28301,경영/사무/금융,자재·구매 사무원(건설)
28302,경영/사무/금융,자재·구매 사무원(기계·자동차·금속)
28303,경영/사무/금융,자재·구매 사무원(화학·섬유·의류)
28304,경영/사무/금융,자재·구매 사무원(전기·전자·컴퓨터)
28305,경영/사무/금융,자재·구매 사무원(음식료품)
